"","Week","variable","value"
"1",1,"TV",230.1
"2",2,"TV",44.5
"3",3,"TV",17.2
"4",4,"TV",151.5
"5",5,"TV",180.8
"6",6,"TV",8.7
"7",7,"TV",57.5
"8",8,"TV",120.2
"9",9,"TV",8.6
"10",10,"TV",199.8
"11",11,"TV",66.1
"12",12,"TV",214.7
"13",13,"TV",23.8
"14",14,"TV",97.5
"15",15,"TV",204.1
"16",16,"TV",195.4
"17",17,"TV",67.8
"18",18,"TV",281.4
"19",19,"TV",69.2
"20",20,"TV",147.3
"21",21,"TV",218.4
"22",22,"TV",237.4
"23",23,"TV",13.2
"24",24,"TV",228.3
"25",25,"TV",62.3
"26",26,"TV",262.9
"27",27,"TV",142.9
"28",28,"TV",240.1
"29",29,"TV",248.8
"30",30,"TV",70.6
"31",31,"TV",292.9
"32",32,"TV",112.9
"33",33,"TV",97.2
"34",34,"TV",265.6
"35",35,"TV",95.7
"36",36,"TV",290.7
"37",37,"TV",266.9
"38",38,"TV",74.7
"39",39,"TV",43.1
"40",40,"TV",228
"41",41,"TV",202.5
"42",42,"TV",177
"43",43,"TV",293.6
"44",44,"TV",206.9
"45",45,"TV",25.1
"46",46,"TV",175.1
"47",47,"TV",89.7
"48",48,"TV",239.9
"49",49,"TV",227.2
"50",50,"TV",66.9
"51",51,"TV",199.8
"52",52,"TV",100.4
"53",53,"TV",216.4
"54",54,"TV",182.6
"55",55,"TV",262.7
"56",56,"TV",198.9
"57",57,"TV",7.3
"58",58,"TV",136.2
"59",59,"TV",210.8
"60",60,"TV",210.7
"61",61,"TV",53.5
"62",62,"TV",261.3
"63",63,"TV",239.3
"64",64,"TV",102.7
"65",65,"TV",131.1
"66",66,"TV",69
"67",67,"TV",31.5
"68",68,"TV",139.3
"69",69,"TV",237.4
"70",70,"TV",216.8
"71",71,"TV",199.1
"72",72,"TV",109.8
"73",73,"TV",26.8
"74",74,"TV",129.4
"75",75,"TV",213.4
"76",76,"TV",16.9
"77",77,"TV",27.5
"78",78,"TV",120.5
"79",79,"TV",5.4
"80",80,"TV",116
"81",81,"TV",76.4
"82",82,"TV",239.8
"83",83,"TV",75.3
"84",84,"TV",68.4
"85",85,"TV",213.5
"86",86,"TV",193.2
"87",87,"TV",76.3
"88",88,"TV",110.7
"89",89,"TV",88.3
"90",90,"TV",109.8
"91",91,"TV",134.3
"92",92,"TV",28.6
"93",93,"TV",217.7
"94",94,"TV",250.9
"95",95,"TV",107.4
"96",96,"TV",163.3
"97",97,"TV",197.6
"98",98,"TV",184.9
"99",99,"TV",289.7
"100",100,"TV",135.2
"101",101,"TV",222.4
"102",102,"TV",296.4
"103",103,"TV",280.2
"104",104,"TV",187.9
"105",105,"TV",238.2
"106",106,"TV",137.9
"107",107,"TV",25
"108",108,"TV",90.4
"109",109,"TV",13.1
"110",110,"TV",255.4
"111",111,"TV",225.8
"112",112,"TV",241.7
"113",113,"TV",175.7
"114",114,"TV",209.6
"115",115,"TV",78.2
"116",116,"TV",75.1
"117",117,"TV",139.2
"118",118,"TV",76.4
"119",119,"TV",125.7
"120",120,"TV",19.4
"121",121,"TV",141.3
"122",122,"TV",18.8
"123",123,"TV",224
"124",124,"TV",123.1
"125",125,"TV",229.5
"126",126,"TV",87.2
"127",127,"TV",7.8
"128",128,"TV",80.2
"129",129,"TV",220.3
"130",130,"TV",59.6
"131",131,"TV",0.7
"132",132,"TV",265.2
"133",133,"TV",8.4
"134",134,"TV",219.8
